	NAME	LABEL	FIPSCODE	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
801	Standish	Standish Township	76140	Standish Township-76140	389043.48012109904	9337.043522906379
802	Orangeville	Orangeville Township	60980	Orangeville Township-60980	337974.6209038029	8111.39090169127
803	Venice	Venice Township	81880	Venice Township-81880	605698.702164908	14536.768851957795
804	Victory	Victory Township	82360	Victory Township-82360	208965.35033042973	5015.168407930314
805	Bliss	Bliss Township	08980	Bliss Township-08980	236789.521728471	5682.948521483304
806	Allen	Allen Township	01320	Allen Township-01320	371576.7360663679	8917.841665592829
807	Wisner	Wisner Township	88080	Wisner Township-88080	206304.84338525424	4951.3162412461015
808	Maple River	Maple River Township	51280	Maple River Township-51280	318989.84361364105	7655.756246727385
809	Riverside	Riverside Township	68820	Riverside Township-68820	289230.3243485854	6941.527784366049
810	York	York Township	89100	York Township-89100	1253383.2568855213	30081.198165252514
811	Athens	Athens Township	03900	Athens Township-03900	385673.6149160473	9256.166757985136
812	Greendale	Greendale Township	34860	Greendale Township-34860	242693.49036985115	5824.643768876428
813	Grattan	Grattan Township	34560	Grattan Township-34560	454582.9456401537	10909.99069536369
814	West Branch	West Branch Township	85600	West Branch Township-85600	497563.08286231325	11941.513988695517
815	Fairfield	Fairfield Township	27020	Fairfield Township-27020	509118.200181788	12218.836804362913
816	Koehler	Koehler Township	43820	Koehler Township-43820	361117.7393728364	8666.825744948073
817	Concord	Concord Township	17760	Concord Township-17760	542404.3538270361	13017.704491848868
818	Charleston	Charleston Township	14720	Charleston Township-14720	546279.9431361764	13110.718635268233
819	Green Lake	Green Lake Township	34960	Green Lake Township-34960	484637.03448023077	11631.288827525537
820	Hanover	Hanover Township	36420	Hanover Township-36420	330061.8831817786	7921.485196362686
821	Detour	Detour Township	21770	Detour Township-21770	330518.6405444087	7932.447373065809
822	Three Oaks	Three Oaks Township	79740	Three Oaks Township-79740	637810.9744851356	15307.463387643254
823	St Ignace	St Ignace Township	70860	St Ignace Township-70860	1153988.190289301	27695.71656694323
824	Casnovia	Casnovia Township	13840	Casnovia Township-13840	355425.07755511504	8530.201861322761
825	Sherman	Sherman Township	73140	Sherman Township-73140	234167.8470845702	5620.028330029685
826	Flowerfield	Flowerfield Township	29140	Flowerfield Township-29140	376875.4068542665	9045.009764502394
827	Lawrence	Lawrence Township	46460	Lawrence Township-46460	433387.5317444046	10401.300761865708
828	Almena	Almena Township	01600	Almena Township-01600	771708.2167442769	18520.997201862647
829	Sidney	Sidney Township	73840	Sidney Township-73840	305416.5603979774	7329.997449551458
830	Arcada	Arcada Township	03260	Arcada Township-03260	865189.4026791039	20764.545664298494
831	Crystal Falls	Crystal Falls Township	19150	Crystal Falls Township-19150	1085692.2483988174	26056.61396157162
832	Mullett	Mullett Township	56100	Mullett Township-56100	228996.89303898223	5495.925432935574
833	Beaver Creek	Beaver Creek Township	06600	Beaver Creek Township-06600	1257039.348409111	30168.944361818663
834	McMillan	McMillan Township	50460	McMillan Township-50460	248720.83974706643	5969.300153929595
835	Fife Lake	Fife Lake Township	28020	Fife Lake Township-28020	457609.51770309964	10982.628424874392
836	Overisel	Overisel Township	61820	Overisel Township-61820	516439.43521947565	12394.546445267417
837	Arcadia	Arcadia Township	03280	Arcadia Township-03280	332486.5731685221	7979.677756044531
838	Norwich	Norwich Township	59280	Norwich Township-59280	287108.9419612521	6890.61460707005
839	Barton	Barton Township	05620	Barton Township-05620	303002.40630212857	7272.057751251085
840	Montague	Montague Township	55120	Montague Township-55120	483468.6693109422	11603.248063462612
841	Ionia	Ionia Township	40880	Ionia Township-40880	530355.6887609496	12728.53653026279
842	Elmer	Elmer Township	25540	Elmer Township-25540	243009.85664008552	5832.236559362052
843	Frankenlust	Frankenlust Township	30180	Frankenlust Township-30180	994350.01827537	23864.40043860888
844	Woodhull	Woodhull Township	88400	Woodhull Township-88400	411171.88253329793	9868.12518079915
845	Rock River	Rock River Township	69160	Rock River Township-69160	456337.756650421	10952.106159610104
846	Nadeau	Nadeau Township	56440	Nadeau Township-56440	491152.7696584966	11787.66647180392
847	Howard	Howard Township	39480	Howard Township-39480	1126844.2856883674	27044.262856520818
848	Marshall	Marshall Township	51960	Marshall Township-51960	626386.9885971925	15033.287726332619
849	Spaulding	Spaulding Township	75480	Spaulding Township-75480	678970.5861699285	16295.294068078285
850	Inland	Inland Township	40700	Inland Township-40700	294327.0768029945	7063.849843271867
851	Ellis	Ellis Township	25400	Ellis Township-25400	377737.1646940918	9065.691952658204
