	state	city	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
196	Chihuahua	Moris	Moris, Chihuahua	213517.0493069494	5124.409183366785
197	Chihuahua	Namiquipa	Namiquipa, Chihuahua	1645710.8000653686	39497.05920156885
198	Chihuahua	Nonoava	Nonoava, Chihuahua	82405.24261334808	1977.725822720354
199	Chihuahua	NuevoCasasGrandes	NuevoCasasGrandes, Chihuahua	1310362.2831768463	31448.694796244312
200	Chihuahua	Ocampo	Ocampo, Chihuahua	280464.3628510008	6731.144708424019
201	Chihuahua	Ojinaga	Ojinaga, Chihuahua	3069056.210047253	73657.34904113408
202	Chihuahua	PraxedisG.Guerrero	PraxedisG.Guerrero, Chihuahua	631968.1734185123	15167.236162044295
203	Chihuahua	RivaPalacio	RivaPalacio, Chihuahua	1038197.3475249087	24916.736340597807
204	Chihuahua	Rosales	Rosales, Chihuahua	1272631.067030278	30543.145608726674
205	Chihuahua	Rosario	Rosario, Chihuahua	49697.83587737247	1192.7480610569392
206	Chihuahua	SanFranciscodeBorja	SanFranciscodeBorja, Chihuahua	57020.2858102823	1368.4868594467753
207	Chihuahua	SanFranciscodeConchos	SanFranciscodeConchos, Chihuahua	106515.53841843647	2556.3729220424752
208	Chihuahua	SanFranciscodelOro	SanFranciscodelOro, Chihuahua	671435.8693071939	16114.460863372653
209	Chihuahua	SantaBárbara	SantaBárbara, Chihuahua	280867.43836027646	6740.818520646635
210	Chihuahua	SantaIsabel	SantaIsabel, Chihuahua	380675.48314956046	9136.211595589451
211	Chihuahua	Satevó	Satevó, Chihuahua	891604.9252389194	21398.518205734068
212	Chihuahua	Saucillo	Saucillo, Chihuahua	1605789.833037406	38538.95599289774
213	Chihuahua	Temósachic	Temósachic, Chihuahua	926442.4342917304	22234.618423001528
214	Chihuahua	Urique	Urique, Chihuahua	556705.4590853261	13360.931018047824
215	Chihuahua	Uruachi	Uruachi, Chihuahua	159560.85003260625	3829.4604007825496
216	Chihuahua	ValledeZaragoza	ValledeZaragoza, Chihuahua	909387.1270169858	21825.29104840766
217	Coahuila	Abasolo	Abasolo, Coahuila	153294.25977058528	3679.0622344940466
218	Coahuila	Acuña	Acuña, Coahuila	2500415.087908034	60009.96210979282
219	Coahuila	Allende	Allende, Coahuila	57162814.12494739	1371907.5389987372
220	Coahuila	Arteaga	Arteaga, Coahuila	4981304.4037603075	119551.30569024739
221	Coahuila	Candela	Candela, Coahuila	1027538.3151430456	24660.919563433097
222	Coahuila	Castaños	Castaños, Coahuila	105159056.735886	2523817.3616612637
223	Coahuila	CuatroCiénegas	CuatroCiénegas, Coahuila	2576774.2863720255	61842.582872928615
224	Coahuila	Escobedo	Escobedo, Coahuila	192822.764672885	4627.746352149241
225	Coahuila	FranciscoI.Madero	FranciscoI.Madero, Coahuila	1877546.5594922705	45061.11742781449
226	Coahuila	Frontera	Frontera, Coahuila	4256373.637321705	102152.96729572093
227	Coahuila	GeneralCepeda	GeneralCepeda, Coahuila	3145256.8163224207	75486.1635917381
228	Coahuila	Guerrero	Guerrero, Coahuila	362235.13811762276	8693.643314822946
229	Coahuila	Hidalgo	Hidalgo, Coahuila	196100.2982243331	4706.407157383994
230	Coahuila	Jiménez	Jiménez, Coahuila	704206.6498066537	16900.95959535969
231	Coahuila	Juárez	Juárez, Coahuila	650315.7088955267	15607.57701349264
232	Coahuila	Lamadrid	Lamadrid, Coahuila	323182.5127205366	7756.380305292878
233	Coahuila	Matamoros	Matamoros, Coahuila	4012214.107361274	96293.13857667058
234	Coahuila	Monclova	Monclova, Coahuila	4397872.30976623	105548.93543438952
235	Coahuila	Morelos	Morelos, Coahuila	29077894.22282329	697869.4613477589
236	Coahuila	Múzquiz	Múzquiz, Coahuila	13012612.220590467	312302.6932941712
237	Coahuila	Nadadores	Nadadores, Coahuila	496779.3424338968	11922.704218413523
238	Coahuila	Nava	Nava, Coahuila	4190722.020716833	100577.32849720398
239	Coahuila	Ocampo	Ocampo, Coahuila	1973165.4110151082	47355.969864362596
240	Coahuila	Parras	Parras, Coahuila	6593828.387885223	158251.88130924533
241	Coahuila	PiedrasNegras	PiedrasNegras, Coahuila	3461560.475378907	83077.45140909377
242	Coahuila	Progreso	Progreso, Coahuila	568417.5027341662	13642.02006561999
243	Coahuila	RamosArizpe	RamosArizpe, Coahuila	25620106.655903332	614882.5597416799
244	Coahuila	Sabinas	Sabinas, Coahuila	3152689.4771722397	75664.54745213375
245	Coahuila	Sacramento	Sacramento, Coahuila	127061.98603028242	3049.487664726778
246	Coahuila	Saltillo	Saltillo, Coahuila	18660303.245638445	447847.27789532265
247	Coahuila	SanBuenaventura	SanBuenaventura, Coahuila	926213.6449221923	22229.127478132617
248	Coahuila	SanJuandeSabinas	SanJuandeSabinas, Coahuila	3125050.561058347	75001.21346540033
249	Coahuila	SanPedro	SanPedro, Coahuila	4382337.066093483	105176.0895862436
250	Coahuila	SierraMojada	SierraMojada, Coahuila	860907.4239408877	20661.778174581304
251	Coahuila	Torreón	Torreón, Coahuila	9900181.698244201	237604.36075786085
252	Coahuila	Viesca	Viesca, Coahuila	1768422.0540804693	42442.129297931264
253	Coahuila	VillaUnión	VillaUnión, Coahuila	20375328.630166553	489007.88712399727
254	Coahuila	Zaragoza	Zaragoza, Coahuila	407286.7297670133	9774.881514408318
255	Colima	Armería	Armería, Colima	1439860.2352036252	34556.645644887
256	Colima	Colima	Colima, Colima	2507618.911484254	60182.853875622095
257	Colima	Comala	Comala, Colima	596467.3238044821	14315.21577130757
258	Colima	Coquimatlán	Coquimatlán, Colima	842926.5602494975	20230.23744598794
259	Colima	Cuauhtémoc	Cuauhtémoc, Colima	1687180.8968186597	40492.34152364783
260	Colima	Ixtlahuacán	Ixtlahuacán, Colima	5027430.426653196	120658.33023967671
261	Colima	Manzanillo	Manzanillo, Colima	4090624.832276691	98174.9959746406
262	Colima	Minatitlán	Minatitlán, Colima	215374.0008672363	5168.976020813671
263	Colima	Tecomán	Tecomán, Colima	4576125.533141944	109827.01279540664
264	Colima	VilladeÁlvarez	VilladeÁlvarez, Colima	1645982.3310964818	39503.57594631556
