	NAME	LABEL	FIPSCODE	municipality	edgar_emission_2015(tons_CO2)
1037	Denver	Denver Township	21700	Denver Township-21700	405.6534605057076
1038	Lincoln	Lincoln Township	47620	Lincoln Township-47620	3608.2108387270437
1039	Seneca	Seneca Township	72440	Seneca Township-72440	6170.728437654164
1040	South Haven	South Haven Township	75000	South Haven Township-75000	6190.046546074458
1041	Helena	Helena Township	37500	Helena Township-37500	1107.5103832881466
1042	Rome	Rome Township	69360	Rome Township-69360	6305.517789926931
1043	Orleans	Orleans Township	61160	Orleans Township-61160	1571.3914825469856
1044	Moffatt	Moffatt Township	54800	Moffatt Township-54800	4372.453152015496
1045	Warren	Warren Township	84020	Warren Township-84020	2957.613411163656
1046	Hartland	Hartland Township	37040	Hartland Township-37040	23414.327927040456
1047	Loud	Loud Township	49480	Loud Township-49480	296.6611540395893
1048	Colon	Colon Township	17370	Colon Township-17370	2466.0412262539658
1049	Ewing	Ewing Township	26840	Ewing Township-26840	174.86735880105192
1050	Logan	Logan Township	49160	Logan Township-49160	897.892966203713
1051	Yates	Yates Township	89040	Yates Township-89040	511.17988486556
1052	Mecosta	Mecosta Township	52780	Mecosta Township-52780	14020.157168416476
1053	Meade	Meade Township	52600	Meade Township-52600	655.1425317763624
1054	Merrill	Merrill Township	53160	Merrill Township-53160	543.8498659141468
1055	Ishpeming	Ishpeming Township	41240	Ishpeming Township-41240	6284.841246843345
1056	Almer	Almer Township	01620	Almer Township-01620	1112.0968737411786
1057	Climax	Climax Township	16460	Climax Township-16460	14155.825819420108
1058	Bedford	Bedford Township	06720	Bedford Township-06720	3740.859303232197
1059	Cato	Cato Township	14000	Cato Township-14000	2459.8185996113157
1060	Burns	Burns Township	11880	Burns Township-11880	6081.022788089797
1061	Day	Day Township	19920	Day Township-19920	1525.1554442004349
1062	Rudyard	Rudyard Township	70220	Rudyard Township-70220	7785.570471316642
1063	Burlington	Burlington Township	11840	Burlington Township-11840	2259.7979569736726
1064	Cooper	Cooper Township	17980	Cooper Township-17980	11365.953712762896
1065	Forest	Forest Township	29420	Forest Township-29420	3036.8081447537133
1066	Pennfield	Pennfield Township	63440	Pennfield Township-63440	4504.956903160435
1067	Mancelona	Mancelona Township	50640	Mancelona Township-50640	2975.497816410488
1068	Franklin	Franklin Township	30280	Franklin Township-30280	629.2400433983605
1069	Ida	Ida Township	40260	Ida Township-40260	9906.438235601017
1070	Little Traverse	Little Traverse Township	48080	Little Traverse Township-48080	1553.47305687394
1071	London	London Township	49180	London Township-49180	11421.911433628302
1072	Leroy	Leroy Township	47060	Leroy Township-47060	19296.566675660764
1073	Argyle	Argyle Township	03460	Argyle Township-03460	398.40118437402674
1074	Haynes	Haynes Township	37380	Haynes Township-37380	169.01582305557048
1075	Summit	Summit Township	77200	Summit Township-77200	53368.27061149308
1076	Crystal	Crystal Township	19100	Crystal Township-19100	321.1900935590993
1077	Republic	Republic Township	68000	Republic Township-68000	848.3453004351068
1078	Dover	Dover Township	22840	Dover Township-22840	182.32589985617457
1079	Jordan	Jordan Township	41960	Jordan Township-41960	1009.0267200348908
1080	Olive	Olive Township	60440	Olive Township-60440	6481.359215854618
1081	Jerome	Jerome Township	41760	Jerome Township-41760	2912.3455779526084
1082	Homer	Homer Township	38980	Homer Township-38980	31416.334685414015
1083	Norman	Norman Township	57900	Norman Township-57900	889.3208163370072
1084	Douglass	Douglass Township	22760	Douglass Township-22760	1520.3802700508088
1085	Au Train	Au Train Township	04460	Au Train Township-04460	5647.097659025256
1086	Minden	Minden Township	54540	Minden Township-54540	472.6129673019435
1087	Ypsilanti	Ypsilanti Township	89160	Ypsilanti Township-89160	81961.37277053192
1088	Case	Case Township	13740	Case Township-13740	590.635715482632
1089	Lasalle	Lasalle Township	46260	Lasalle Township-46260	27072.62698020858
1090	Summit	Summit Township	77220	Summit Township-77220	619.2296300768305
1091	Montcalm	Montcalm Township	55140	Montcalm Township-55140	1719.5466622893396
1092	Berlin	Berlin Township	07700	Berlin Township-07700	18358.59022480913
1093	Orange	Orange Township	60940	Orange Township-60940	1961.817505088372
1094	Oakfield	Oakfield Township	59580	Oakfield Township-59580	5935.280550356766
1095	Matchwood	Matchwood Township	52320	Matchwood Township-52320	74.53308265333327
1096	Sylvan	Sylvan Township	77800	Sylvan Township-77800	12893.338819428547
1097	Manistique	Manistique Township	50780	Manistique Township-50780	231.00239381995647
1098	Otisco	Otisco Township	61580	Otisco Township-61580	11974.647753008
1099	China	China Township	15540	China Township-15540	19308.853093869162
1100	Fulton	Fulton Township	31080	Fulton Township-31080	3348.0396148150253
1101	Akron	Akron Township	00720	Akron Township-00720	4342.745189214394
1102	Byron	Byron Township	12240	Byron Township-12240	154928.08975903402
1103	Sugar Island	Sugar Island Township	77020	Sugar Island Township-77020	9934.473683067312
1104	Suttons Bay	Suttons Bay Township	77620	Suttons Bay Township-77620	699.5188240657418
1105	Waterloo	Waterloo Township	84300	Waterloo Township-84300	5393.4021107232265
1106	Otto	Otto Township	61780	Otto Township-61780	733.4589528272676
1107	Lapeer	Lapeer Township	46060	Lapeer Township-46060	3710.190853818338
1108	Cannon	Cannon Township	13080	Cannon Township-13080	5945.859418230766
1109	Mt Haley	Mt Haley Township	55940	Mt Haley Township-55940	9993.625133612988
1110	Grant	Grant Township	34280	Grant Township-34280	969.9168124498564
1111	Wawatam	Wawatam Township	84840	Wawatam Township-84840	5206.3169895408655
1112	Meade	Meade Township	52640	Meade Township-52640	270.4446627235479
1113	Forsyth	Forsyth Township	29720	Forsyth Township-29720	10383.20116216815
1114	Constantine	Constantine Township	17860	Constantine Township-17860	13404.98832192981
1115	Ash	Ash Township	03680	Ash Township-03680	54158.09989261818
1116	Ferry	Ferry Township	27940	Ferry Township-27940	644.4842183010592
1117	Leavitt	Leavitt Township	46560	Leavitt Township-46560	486.2399572061618
1118	Clam Union	Clam Union Township	15900	Clam Union Township-15900	506.3304460910499
1119	Croton	Croton Township	18980	Croton Township-18980	1711.342452403444
1120	Silver Creek	Silver Creek Township	73940	Silver Creek Township-73940	2175.3046733593364
1121	Algansee	Algansee Township	01120	Algansee Township-01120	2774.227013554345
1122	South Branch	South Branch Township	74760	South Branch Township-74760	827.1244947249852
1123	Dover	Dover Township	22820	Dover Township-22820	8818.612858599547
1124	Grant	Grant Township	34200	Grant Township-34200	333.8394757792547
1125	Riga	Riga Township	68580	Riga Township-68580	11802.124626546945
1126	Wells	Wells Township	85260	Wells Township-85260	565.6751937171714
1127	Negaunee	Negaunee Township	56880	Negaunee Township-56880	19048.466732670575
1128	Blackman	Blackman Township	08760	Blackman Township-08760	5443.09141937675
1129	Sebewa	Sebewa Township	72120	Sebewa Township-72120	9972.977170047046
