	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
201	huitzucodelosfigueroa, guerrero	116420000.0	6802.4206	Guerrero	HuitzucodelosFigueroa	153639.1054651494	3687.3385311635852	45.79372920334293
202	igualadelaindependencia, guerrero	473100000.0	27643.233	Guerrero	IgualadelaIndependencia	380552.14549078955	9133.251491778949	66.96026296280559
203	launióndeisidoromontesdeoc, guerrero			Guerrero	LaUnióndeIsidoroMontesdeOc	121911.55438919336	2925.8773053406408	
204	pilcaya, guerrero			Guerrero	Pilcaya	68974.02355073502	1655.3765652176403	
205	sanmarcos, guerrero	133120000.0	7778.2016	Guerrero	SanMarcos	213388.4424662837	5121.32261919081	34.15801129157144
206	taxcodealarcón, guerrero	346500000.0	20245.995	Guerrero	TaxcodeAlarcón	366593.84079141973	8798.252178994075	56.54324631121328
207	tepecoacuilcodetrujano, guerrero			Guerrero	TepecoacuilcodeTrujano	154382.81046780662	3705.1874512273585	
208	tetipac, guerrero			Guerrero	Tetipac	75363.89295157616	1808.7334308378277	
209	zihuatanejodeazueta, guerrero	489000000.0	28572.27	Guerrero	ZihuatanejodeAzueta	329089.6604270877	7898.151850250105	72.357282602152
210	acatlán, hidalgo			Hidalgo	Acatlán	141305.70660870342	3391.336958608882	
211	acaxochitlán, hidalgo	88340000.0	5161.7062000000005	Hidalgo	Acaxochitlán	245305.81473238475	5887.339553577234	14.058013483549948
212	actopan, hidalgo			Hidalgo	Actopan	128668.86039163823	3088.0526493993175	
213	aguablancadeiturbide, hidalgo			Hidalgo	AguaBlancadeIturbide	44255.900585183204	1062.1416140443969	
214	ajacuba, hidalgo			Hidalgo	Ajacuba	90807.91741663183	2179.390017999164	
215	alfajayucan, hidalgo			Hidalgo	Alfajayucan	104081.83026575354	2497.963926378085	
216	almoloya, hidalgo			Hidalgo	Almoloya	46995.144354287084	1127.88346450289	
217	apan, hidalgo	131860000.0	7704.5798	Hidalgo	Apan	160483.9621837862	3851.615092410869	50.00875852553479
218	atitalaquia, hidalgo			Hidalgo	Atitalaquia	73192.8196335155	1756.6276712043718	
219	atlapexco, hidalgo			Hidalgo	Atlapexco	103161.04355421787	2475.8650453012287	
220	atotonilcodetula, hidalgo			Hidalgo	AtotonilcodeTula	104812.29526968033	2515.495086472328	
221	atotonilcoelgrande, hidalgo			Hidalgo	AtotonilcoelGrande	110874.85593204835	2660.99654236916	
222	calnali, hidalgo			Hidalgo	Calnali	99690.10690281882	2392.5625656676516	
223	cardonal, hidalgo			Hidalgo	Cardonal	98521.6244940623	2364.5189878574956	
224	chapantongo, hidalgo			Hidalgo	Chapantongo	73991.49514143087	1775.795883394341	
225	chapulhuacán, hidalgo			Hidalgo	Chapulhuacán	132540.2169848274	3180.965207635857	
226	chilcuautla, hidalgo			Hidalgo	Chilcuautla	125209.39690355252	3005.0255256852606	
227	cuautepecdehinojosa, hidalgo	153650000.0	8977.7695	Hidalgo	CuautepecdeHinojosa	278287.20844577183	6678.893002698524	25.606321228245797
228	elarenal, hidalgo			Hidalgo	ElArenal	91671.96921142908	2200.127261074298	
229	eloxochitlán, hidalgo			Hidalgo	Eloxochitlán	31271.886603215673	750.5252784771761	
230	emilianozapata, hidalgo			Hidalgo	EmilianoZapata	46428.18760650172	1114.2765025560414	
231	epazoyucan, hidalgo			Hidalgo	Epazoyucan	102360.8438514489	2456.660252434773	
232	franciscoi.madero, hidalgo	97640000.0	5705.1052	Hidalgo	FranciscoI.Madero	97417.71253357554	2338.025100805813	59.01872062226279
233	huascadeocampo, hidalgo			Hidalgo	HuascadeOcampo	122270.33991008015	2934.4881578419236	
234	huautla, hidalgo			Hidalgo	Huautla	144466.23866409328	3467.1897279382383	
235	huazalingo, hidalgo			Hidalgo	Huazalingo	79669.20848942033	1912.0610037460879	
236	huehuetla, hidalgo			Hidalgo	Huehuetla	104627.17343329119	2511.0521623989885	
